catalogue_no,feature_id,feature_name_en,feature_name_vi,feature_block,feature_subblock,specification_tier,selection_origin,recommended_role,supporting_studies,source_location,formula_or_definition,required_raw_concepts,time_requirement,pu_role,expected_dtype,target_component_risk,catalogue_status,mapping_status,candidate_data_source,candidate_columns,source_authorization,coverage_overall,paired_two_year_coverage,coverage_by_year,coverage_by_board,coverage_by_industry,coverage_by_fold,denominator_diagnostics,temporal_eligibility,target_specific_leakage_decision,final_researcher_decision,decision_reason,notes
144,raw_fiscal_close_price,Fiscal-year Closing Share Price,Giá cổ phiếu đóng cửa cuối năm tài chính,Raw accounting universe,Zhang 2025 PU 28-item block,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting/market input candidate,ZHPU2025; BAO2020; YANG2026; ZAV2025,ZHPU2025 Table A2,As reported,Fiscal-year Closing Share Price,Fiscal year t or pre-release market window,ambiguous_content_and_domain,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
145,raw_market_value,Market Value of Equity,Giá trị thị trường của vốn chủ sở hữu,Raw accounting universe,Zhang 2025 PU 28-item block,C4_PRIMARY_RAW_28,COMPLETE_PUBLISHED_RAW_BLOCK,Primary raw-accounting/market input candidate,ZHPU2025; BAO2020; YANG2026; ZAV2025,ZHPU2025 Table A2,As reported,Market Value of Equity,Fiscal year t or pre-release market window,ambiguous_content_and_domain,continuous,low,DATA_MAPPING_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
146,pu_industry_code,Industry Classification,Phân loại ngành,PU label mechanism,Metadata and observability,C5_PU_LABEL_MECHANISM,COMPLETE_PUBLISHED_METADATA_OR_PROTOCOL_FEATURE,Estimate/audit labeling propensity separately from accounting content,ZAV2025; ZHPU2025; YANG2026; DEC2011,Recent PU papers and measurement protocol,Industry code/group known before prediction,Industry code/group known before prediction,Must be known at the annual anchor,label_mechanism_and_domain,categorical,medium,PU_MECHANISM_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
147,pu_registered_region,State/Region of Incorporation,Tỉnh hoặc vùng đăng ký doanh nghiệp,PU label mechanism,Metadata and observability,C5_PU_LABEL_MECHANISM,COMPLETE_PUBLISHED_METADATA_OR_PROTOCOL_FEATURE,Estimate/audit labeling propensity separately from accounting content,ZAV2025,Recent PU papers and measurement protocol,Registered location,Registered location,Must be known at the annual anchor,label_mechanism_and_domain,categorical,medium,PU_MECHANISM_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
148,pu_operating_region,State/Region of Operation,Tỉnh hoặc vùng hoạt động chính,PU label mechanism,Metadata and observability,C5_PU_LABEL_MECHANISM,COMPLETE_PUBLISHED_METADATA_OR_PROTOCOL_FEATURE,Estimate/audit labeling propensity separately from accounting content,ZAV2025,Recent PU papers and measurement protocol,Operating/headquarters location,Operating/headquarters location,Must be known at the annual anchor,label_mechanism_and_domain,categorical,medium,PU_MECHANISM_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
149,pu_listing_board,Listing Board,Sàn giao dịch,PU label mechanism,Metadata and observability,C5_PU_LABEL_MECHANISM,COMPLETE_PUBLISHED_METADATA_OR_PROTOCOL_FEATURE,Estimate/audit labeling propensity separately from accounting content,BUI2021; recent PU design,Recent PU papers and measurement protocol,"HOSE, HNX, UPCoM or equivalent","HOSE, HNX, UPCoM or equivalent",Must be known at the annual anchor,label_mechanism_and_observability,categorical,medium,PU_MECHANISM_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
150,pu_calendar_year,Calendar/Fiscal Year,Năm tài chính,PU label mechanism,Metadata and observability,C5_PU_LABEL_MECHANISM,COMPLETE_PUBLISHED_METADATA_OR_PROTOCOL_FEATURE,Estimate/audit labeling propensity separately from accounting content,ZHPU2025; YANG2026,Recent PU papers and measurement protocol,Year indicator or smooth time control,Year indicator or smooth time control,Must be known at the annual anchor,domain_and_label_mechanism,categorical,medium,PU_MECHANISM_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
151,pu_regulatory_regime,Regulatory Regime,Chế độ quản lý hoặc giai đoạn thể chế,PU label mechanism,Metadata and observability,C5_PU_LABEL_MECHANISM,COMPLETE_PUBLISHED_METADATA_OR_PROTOCOL_FEATURE,Estimate/audit labeling propensity separately from accounting content,ZHPU2025; YANG2026,Recent PU papers and measurement protocol,Researcher-approved regime classification based on legal/institutional dates,Researcher-approved regime classification based on legal/institutional dates,Must be known at the annual anchor,domain_and_label_mechanism,categorical,medium,PU_MECHANISM_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
152,pu_firm_size,Firm Size for Label Mechanism,Quy mô doanh nghiệp trong cơ chế gắn nhãn,PU label mechanism,Metadata and observability,C5_PU_LABEL_MECHANISM,COMPLETE_PUBLISHED_METADATA_OR_PROTOCOL_FEATURE,Estimate/audit labeling propensity separately from accounting content,DEC2011; ZAV2025; TRA2015; BUI2021,Recent PU papers and measurement protocol,Log audited total assets or prespecified size measure,Log audited total assets or prespecified size measure,Must be known at the annual anchor,ambiguous_content_and_label_mechanism,continuous_or_binary,medium,PU_MECHANISM_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
153,pu_filing_availability,Filing Availability,Trạng thái có hồ sơ công bố,PU label mechanism,Metadata and observability,C5_PU_LABEL_MECHANISM,COMPLETE_PUBLISHED_METADATA_OR_PROTOCOL_FEATURE,Estimate/audit labeling propensity separately from accounting content,PU design; PARK2025,Recent PU papers and measurement protocol,Indicator that required filing is observable by anchor,Indicator that required filing is observable by anchor,Must be known at the annual anchor,observability,continuous_or_binary,medium,PU_MECHANISM_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
154,pu_source_coverage_count,Evidence-source Coverage Count,Số nguồn bằng chứng khả dụng,PU label mechanism,Metadata and observability,C5_PU_LABEL_MECHANISM,COMPLETE_PUBLISHED_METADATA_OR_PROTOCOL_FEATURE,Estimate/audit labeling propensity separately from accounting content,PU/measurement design,Recent PU papers and measurement protocol,Count of authorized evidence channels available at anchor,Count of authorized evidence channels available at anchor,Must be known at the annual anchor,observability,continuous_or_binary,medium,PU_MECHANISM_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
155,pu_prior_known_positive,Prior Known Misstatement/Enforcement Indicator,Tiền sử sai phạm hoặc xử phạt đã được biết,PU label mechanism,Metadata and observability,C5_PU_LABEL_MECHANISM,COMPLETE_PUBLISHED_METADATA_OR_PROTOCOL_FEATURE,Estimate/audit labeling propensity separately from accounting content,ZAV2025; TRA2015,Recent PU papers and measurement protocol,Only events known before the prediction anchor,Only events known before the prediction anchor,Must be known at the annual anchor,source_specific_label_mechanism,continuous_or_binary,medium,PU_MECHANISM_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
156,pu_years_since_prior_positive,Years Since Prior Known Positive,Số năm kể từ sai phạm đã biết gần nhất,PU label mechanism,Metadata and observability,C5_PU_LABEL_MECHANISM,COMPLETE_PUBLISHED_METADATA_OR_PROTOCOL_FEATURE,Estimate/audit labeling propensity separately from accounting content,ZAV2025-informed safeguard,Recent PU papers and measurement protocol,Elapsed years from a prior known event to anchor,Elapsed years from a prior known event to anchor,Must be known at the annual anchor,source_specific_label_mechanism,categorical,medium,PU_MECHANISM_AUDIT_REQUIRED,,,,,,,,,,,,,,,,
157,yang_short_interest,Short Interest,Tỷ lệ bán khống,Recent extensions,Yang 2026 market/audit block,R1_RECENT_EXTENSION,COMPLETE_PUBLISHED_EXTENSION_BLOCK,Block-level robustness and label-mechanism sensitivity,YANG2026,YANG2026 predictor description; Online Appendix B,Past 12-month average before financial statement release,market data,Pre-release 12-month market window or t-1 audit data,ambiguous_content_and_label_mechanism,continuous,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
158,yang_stock_return,Stock Return,Tỷ suất sinh lợi cổ phiếu,Recent extensions,Yang 2026 market/audit block,R1_RECENT_EXTENSION,COMPLETE_PUBLISHED_EXTENSION_BLOCK,Block-level robustness and label-mechanism sensitivity,YANG2026,YANG2026 predictor description; Online Appendix B,Return measured over the 12 months before release,market prices,Pre-release 12-month market window or t-1 audit data,ambiguous_content_and_label_mechanism,continuous,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
159,yang_industry_return,Industry Return,Tỷ suất sinh lợi ngành,Recent extensions,Yang 2026 market/audit block,R1_RECENT_EXTENSION,COMPLETE_PUBLISHED_EXTENSION_BLOCK,Block-level robustness and label-mechanism sensitivity,YANG2026,YANG2026 predictor description; Online Appendix B,Industry return over the 12 months before release,market prices; industry classification,Pre-release 12-month market window or t-1 audit data,ambiguous_content_and_label_mechanism,continuous,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
160,yang_return_volatility,Stock Return Volatility,Độ biến động tỷ suất sinh lợi cổ phiếu,Recent extensions,Yang 2026 market/audit block,R1_RECENT_EXTENSION,COMPLETE_PUBLISHED_EXTENSION_BLOCK,Block-level robustness and label-mechanism sensitivity,YANG2026,YANG2026 predictor description; Online Appendix B,Return volatility over the 12 months before release,market prices,Pre-release 12-month market window or t-1 audit data,ambiguous_content_and_label_mechanism,continuous,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
161,yang_lagged_audit_fees,Lagged Audit Fees,Phí kiểm toán năm trước,Recent extensions,Yang 2026 market/audit block,R1_RECENT_EXTENSION,COMPLETE_PUBLISHED_EXTENSION_BLOCK,Block-level robustness and label-mechanism sensitivity,YANG2026,YANG2026 predictor description; Online Appendix B,Natural logarithm of prior-year audit fees,prior-year audit fee,Pre-release 12-month market window or t-1 audit data,ambiguous_content_and_label_mechanism,continuous,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
162,yang_lagged_audit_fee_ratio,Lagged Audit Fee Ratio,Tỷ lệ phí kiểm toán năm trước,Recent extensions,Yang 2026 market/audit block,R1_RECENT_EXTENSION,COMPLETE_PUBLISHED_EXTENSION_BLOCK,Block-level robustness and label-mechanism sensitivity,YANG2026,YANG2026 predictor description; Online Appendix B,Exact denominator must be transcribed from Online Appendix B,prior-year audit fee; denominator from source,Pre-release 12-month market window or t-1 audit data,ambiguous_content_and_label_mechanism,continuous,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
163,yang_industry_avg_audit_fees,Industry-average Lagged Audit Fees,Phí kiểm toán năm trước bình quân ngành,Recent extensions,Yang 2026 market/audit block,R1_RECENT_EXTENSION,COMPLETE_PUBLISHED_EXTENSION_BLOCK,Block-level robustness and label-mechanism sensitivity,YANG2026,YANG2026 predictor description; Online Appendix B,Industry average of lagged audit fees,prior-year audit fee; industry,Pre-release 12-month market window or t-1 audit data,ambiguous_content_and_label_mechanism,continuous,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
164,yang_industry_avg_audit_fee_ratio,Industry-average Lagged Audit Fee Ratio,Tỷ lệ phí kiểm toán năm trước bình quân ngành,Recent extensions,Yang 2026 market/audit block,R1_RECENT_EXTENSION,COMPLETE_PUBLISHED_EXTENSION_BLOCK,Block-level robustness and label-mechanism sensitivity,YANG2026,YANG2026 predictor description; Online Appendix B,Industry average of lagged audit-fee ratio,prior-year audit fee ratio; industry,Pre-release 12-month market window or t-1 audit data,ambiguous_content_and_label_mechanism,continuous,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
165,ent_listing_age,Listing Age,Tuổi niêm yết,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,ln(current year - listing year + 1),ln(current year - listing year + 1),Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
166,ent_firm_age,Age of Establishment,Tuổi doanh nghiệp,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,ln(current year - incorporation year + 1),ln(current year - incorporation year + 1),Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
167,ent_firm_size,Firm Size,Quy mô doanh nghiệp,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,Natural logarithm of annual total assets,Natural logarithm of annual total assets,Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
168,ent_roe,Return on Equity,Tỷ suất sinh lợi trên vốn chủ sở hữu,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,Net profit / average owners' equity,Net profit / average owners' equity,Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
169,ent_eps,Earnings per Share,Lợi nhuận trên mỗi cổ phiếu,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,As reported in the annual report,As reported in the annual report,Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
170,ent_tobins_q,Tobin's Q,Chỉ số Tobin's Q,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,(Market value of equity + book value of debt) / book value of total assets,(Market value of equity + book value of debt) / book value of total assets,Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
171,ent_quick_ratio,Quick Ratio,Hệ số thanh toán nhanh,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,(Current assets - inventories) / current liabilities,(Current assets - inventories) / current liabilities,Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
172,ent_financial_leverage,Financial Leverage,Đòn bẩy tài chính,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,(Net profit + income tax expense + finance costs) / (Net profit + income tax expense),(Net profit + income tax expense + finance costs) / (Net profit + income tax expense),Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
173,ent_total_liabilities,Total Liabilities,Tổng nợ phải trả,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,Current plus non-current liabilities,Current plus non-current liabilities,Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
174,ent_tax_rate,Tax Rate,Thuế suất thực tế,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,Income tax expense / total profit,Income tax expense / total profit,Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
175,ent_current_asset_turnover,Current Asset Turnover Ratio,Vòng quay tài sản ngắn hạn,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,Definition must be checked: source table appears to repeat asset-growth wording,Definition must be checked: source table appears to repeat asset-growth wording,Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
176,ent_total_asset_growth,Total Asset Growth Rate,Tốc độ tăng tổng tài sản,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,Total assets_t / Total assets_t-1 - 1,Total assets_t / Total assets_t-1 - 1,Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
177,ent_operating_expense_ratio,Operating Expense Ratio,Tỷ lệ chi phí hoạt động,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,Operating expenses / operating income,Operating expenses / operating income,Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
178,ent_fixed_asset_ratio,Fixed Assets Ratio,Tỷ lệ tài sản cố định,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,Net fixed assets / total assets,Net fixed assets / total assets,Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
179,ent_equity_multiplier,Equity Multiplier,Hệ số nhân vốn chủ sở hữu,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,Ending total assets / ending owners' equity,Ending total assets / ending owners' equity,Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
180,ent_largest_shareholder,Largest Shareholder Ownership Ratio,Tỷ lệ sở hữu của cổ đông lớn nhất,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,Shares held by largest shareholder / total shares,Shares held by largest shareholder / total shares,Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
181,ent_management_ownership,Management Ownership Ratio,Tỷ lệ sở hữu của ban quản lý,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,Shares held by directors and supervisors / total shares,Shares held by directors and supervisors / total shares,Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
182,ent_loss_indicator,Loss Indicator,Biến chỉ báo thua lỗ,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,1 if net profit < 0; otherwise 0,1 if net profit < 0; otherwise 0,Known by filing/annual-report anchor,latent_risk_content_or_governance,binary,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
183,ent_internal_control_effectiveness,Internal Control Effectiveness,Hiệu lực kiểm soát nội bộ,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,1 if internal control is effective; otherwise 0,1 if internal control is effective; otherwise 0,Known by filing/annual-report anchor,latent_risk_content_or_governance,binary,medium,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
184,ent_sa_financing_constraint,SA Financing Constraint Index,Chỉ số hạn chế tài chính SA,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,Published SA-index formula,Published SA-index formula,Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,low,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
185,ent_mda_tone,MD&A Emotional Tone,Sắc thái cảm xúc trong MD&A,Recent extensions,Enterprise portrait,R1_RECENT_EXTENSION,SUPERVISED_SELECTED_PUBLISHED_BLOCK,Robustness only; evaluate the complete 21-feature block,ZHENT2025,ZHENT2025 Table 3,(Positive words - negative words) / (Positive words + negative words),(Positive words - negative words) / (Positive words + negative words),Known by filing/annual-report anchor,latent_risk_content_or_governance,continuous,medium,ROBUSTNESS_ONLY_SUPERVISED_SELECTION_ORIGIN,,,,,,,,,,,,,,,,The paper selected these features using ANOVA/PCA; do not call this a canonical confirmatory set.
186,park_auditor_client_tenure,Auditor–Client Tenure,Số năm quan hệ giữa kiểm toán viên và khách hàng,Recent extensions,Parker 2025 audit/governance/qualitative block,R1_RECENT_EXTENSION,PUBLISHED_EXTENSION_OR_POST_HOC_IMPORTANCE,Robustness/block-level audit; not an individual SHAP-based confirmatory choice,PARK2025,PARK2025 Appendix A and feature-importance discussion,Audit engagement tenure,Audit engagement tenure,One- or two-year-ahead availability must be checked,ambiguous_content_and_label_mechanism,continuous_or_binary,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
187,park_comprehensive_income_current,Current-year Comprehensive Income,Thu nhập toàn diện năm hiện tại,Recent extensions,Parker 2025 audit/governance/qualitative block,R1_RECENT_EXTENSION,PUBLISHED_EXTENSION_OR_POST_HOC_IMPORTANCE,Robustness/block-level audit; not an individual SHAP-based confirmatory choice,PARK2025,PARK2025 Appendix A and feature-importance discussion,As-reported comprehensive income,As-reported comprehensive income,One- or two-year-ahead availability must be checked,ambiguous_content_and_label_mechanism,continuous_or_binary,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
188,park_comprehensive_income_prior,Prior-year Comprehensive Income,Thu nhập toàn diện năm trước,Recent extensions,Parker 2025 audit/governance/qualitative block,R1_RECENT_EXTENSION,PUBLISHED_EXTENSION_OR_POST_HOC_IMPORTANCE,Robustness/block-level audit; not an individual SHAP-based confirmatory choice,PARK2025,PARK2025 Appendix A and feature-importance discussion,Lagged comprehensive income,Lagged comprehensive income,One- or two-year-ahead availability must be checked,ambiguous_content_and_label_mechanism,continuous_or_binary,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
189,park_comprehensive_income_nci,Comprehensive Income Attributable to Noncontrolling Interests,Thu nhập toàn diện thuộc cổ đông không kiểm soát,Recent extensions,Parker 2025 audit/governance/qualitative block,R1_RECENT_EXTENSION,PUBLISHED_EXTENSION_OR_POST_HOC_IMPORTANCE,Robustness/block-level audit; not an individual SHAP-based confirmatory choice,PARK2025,PARK2025 Appendix A and feature-importance discussion,As reported,As reported,One- or two-year-ahead availability must be checked,ambiguous_content_and_label_mechanism,continuous_or_binary,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
190,park_foreign_firm_status,Foreign-firm Status,Biến chỉ báo doanh nghiệp nước ngoài,Recent extensions,Parker 2025 audit/governance/qualitative block,R1_RECENT_EXTENSION,PUBLISHED_EXTENSION_OR_POST_HOC_IMPORTANCE,Robustness/block-level audit; not an individual SHAP-based confirmatory choice,PARK2025,PARK2025 Appendix A and feature-importance discussion,Foreign issuer/status indicator,Foreign issuer/status indicator,One- or two-year-ahead availability must be checked,ambiguous_content_and_label_mechanism,continuous_or_binary,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
191,park_tax_interest_penalties,Accrued Tax Interest and Penalties,Lãi và tiền phạt thuế đã trích trước,Recent extensions,Parker 2025 audit/governance/qualitative block,R1_RECENT_EXTENSION,PUBLISHED_EXTENSION_OR_POST_HOC_IMPORTANCE,Robustness/block-level audit; not an individual SHAP-based confirmatory choice,PARK2025,PARK2025 Appendix A and feature-importance discussion,Accrued interest and penalties for uncertain tax positions,Accrued interest and penalties for uncertain tax positions,One- or two-year-ahead availability must be checked,ambiguous_content_and_label_mechanism,continuous_or_binary,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
192,park_nonaudit_fee,Nonaudit Fee,Phí dịch vụ ngoài kiểm toán,Recent extensions,Parker 2025 audit/governance/qualitative block,R1_RECENT_EXTENSION,PUBLISHED_EXTENSION_OR_POST_HOC_IMPORTANCE,Robustness/block-level audit; not an individual SHAP-based confirmatory choice,PARK2025,PARK2025 Appendix A and feature-importance discussion,Nonaudit fees,Nonaudit fees,One- or two-year-ahead availability must be checked,ambiguous_content_and_label_mechanism,continuous_or_binary,medium,ROBUSTNESS_BLOCK_AFTER_DATA_AUDIT,,,,,,,,,,,,,,,,
